game_id,season,week,gameday,home_team,away_team,home_score,away_score,home_pass_yds,home_pass_cmp,home_pass_att,away_pass_yds,away_pass_cmp,away_pass_att,home_moneyline,away_moneyline,home_off_epa_per_play,home_off_cpoe,home_def_epa_per_play,away_off_epa_per_play,away_off_cpoe,away_def_epa_per_play,home_roll_pts_scored,home_roll_pts_allowed,home_roll_off_epa,home_roll_def_epa,home_roll_off_cpoe,away_roll_pts_scored,away_roll_pts_allowed,away_roll_off_epa,away_roll_def_epa,away_roll_off_cpoe,home_roll_passing_yards,home_roll_rushing_yards,home_roll_completion_pct,home_roll_net_yds_per_play,away_roll_passing_yards,away_roll_rushing_yards,away_roll_completion_pct,away_roll_net_yds_per_play,diff_pts_scored,diff_pts_allowed,diff_pass_yds,diff_rush_yds,diff_comp_pct,diff_net_yds_play,diff_off_epa,diff_def_epa,diff_off_cpoe
2023_01_DET_KC,2023,1,2023-09-07,KC,DET,20,21,226,21,39,253,22,35,-198,164,-0.1184697878528169,-6.2199960286552844,0.0258826194113857,0.0258826194113857,-0.1157089136540889,-0.1184697878528169,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_CAR_ATL,2023,1,2023-09-10,ATL,CAR,24,10,115,15,18,146,20,38,-192,160,-0.1389357985336463,6.426090333196852,-0.2586715095325469,-0.2586715095325469,-5.514065777101824,-0.1389357985336463,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_HOU_BAL,2023,1,2023-09-10,BAL,HOU,25,9,169,17,22,242,28,44,-500,380,-0.0401951538159786,11.384226026989165,-0.2928440593662552,-0.2928440593662552,-4.56968767698421,-0.0401951538159786,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_CIN_CLE,2023,1,2023-09-10,CLE,CIN,24,3,154,16,29,82,14,32,-108,-112,-0.1458974134639627,-6.878151616145825,-0.4114458267363066,-0.4114458267363066,-18.79459100384866,-0.1458974134639627,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_JAX_IND,2023,1,2023-09-10,IND,JAX,21,31,223,24,39,241,24,32,170,-205,-0.3730805300114702,-10.716709647423182,-0.2437002117680583,-0.2437002117680583,5.192238278687,-0.3730805300114702,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_TB_MIN,2023,1,2023-09-10,MIN,TB,17,20,344,33,44,173,21,34,-205,170,-0.0989027725657624,4.992012476379221,-0.1044629679643963,-0.1044629679643963,-2.990890759974718,-0.0989027725657624,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_TEN_NO,2023,1,2023-09-10,NO,TEN,16,15,305,23,33,198,16,34,-148,124,-0.0676103595641819,6.1527174530607285,-0.1766572317412597,-0.1766572317412597,-19.289592360005233,-0.0676103595641819,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_SF_PIT,2023,1,2023-09-10,PIT,SF,7,30,232,31,46,220,19,29,100,-120,-0.2953882116717362,2.07611083984375,0.1276754293416743,0.1276754293416743,3.140392473765782,-0.2953882116717362,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_ARI_WAS,2023,1,2023-09-10,WAS,ARI,20,16,202,19,31,132,21,30,-340,270,-0.2224206770841902,-6.89905296111929,-0.3482674124574335,-0.3482674124574335,2.0314213633537292,-0.2224206770841902,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_GB_CHI,2023,1,2023-09-10,CHI,GB,20,38,216,24,37,245,15,27,-118,-102,-0.1762967523723666,-7.785577906502618,0.155701356920238,0.155701356920238,-5.516260862350464,-0.1762967523723666,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_LV_DEN,2023,1,2023-09-10,DEN,LV,16,17,177,27,34,200,20,26,-162,136,0.0713344994000438,14.956555236130953,0.1726841686936748,0.1726841686936748,13.071728211182814,0.0713344994000438,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_MIA_LAC,2023,1,2023-09-10,LAC,MIA,34,36,229,23,33,466,28,45,-162,136,0.1700523116821552,2.5835440043480165,0.3395622966694022,0.3395622966694022,0.7247561080889269,0.1700523116821552,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_PHI_NE,2023,1,2023-09-10,NE,PHI,20,25,316,35,54,170,22,33,154,-185,-0.2012736714796104,-3.112151832492263,-0.134385958795428,-0.134385958795428,8.096699515978495,-0.2012736714796104,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023_01_LA_SEA,2023,1,2023-09-10,SEA,LA,13,30,112,16,26,334,24,38,-218,180,-0.0376355332073559,-1.2529852489630382,0.2537183017056319,0.2537183017056319,-0.4259261730554941,-0.0376355332073559,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
